ECDS_UniqueID,Sort1,ECDS_Description,SNOMED_Code
UEC04IJS1111111000,11,Leisure,1067601000000108
UEC04IJS2111111000,21,Activity of daily living,1080091000000109
UEC04IJS3111111000,31,Paid work,1079831000000100
UEC04IJS4111111000,41,Unpaid work,1079841000000109
UEC04IJS5111111000,51,Being educated,1080071000000105
