ECDS_Code,ECDS_Description 
A,White British
B,White Irish
C,Any other White background
D,White and Black Caribbean
E,White and Black African
F,White and Asian
G,Any other mixed background
H,Indian
J,Pakistani
K,Bangladeshi
L,Any other Asian background
M,Caribbean
N,African
P,Any other Black background
R,Chinese
S,Any other ethnic group
Z,Not stated e.g. unwilling to state
99,Not known e.g. unconscious
